source,conditionName,url,type
MAYO,A fib,https://www.mayoclinic.org/diseases-conditions/atrial-fibrillation/diagnosis-treatment/drc-20350630,Treatment
MAYO,A fib,https://www.mayoclinic.org/diseases-conditions/atrial-fibrillation/symptoms-causes/syc-20350624,Overview
MAYO,ACL injury,https://www.mayoclinic.org/diseases-conditions/acl-injury/diagnosis-treatment/drc-20350744,Treatment
MAYO,ACL injury,https://www.mayoclinic.org/diseases-conditions/acl-injury/symptoms-causes/syc-20350738,Overview
MAYO,ADHD in children,https://www.mayoclinic.org/diseases-conditions/adhd/diagnosis-treatment/drc-20350895,Treatment
MAYO,ADHD in children,https://www.mayoclinic.org/diseases-conditions/adhd/symptoms-causes/syc-20350889,Overview
MAYO,AFM,https://www.mayoclinic.org/diseases-conditions/acute-flaccid-myelitis/diagnosis-treatment/drc-20493060,Treatment
MAYO,AFM,https://www.mayoclinic.org/diseases-conditions/acute-flaccid-myelitis/symptoms-causes/syc-20493046,Overview
MAYO,ARDS,https://www.mayoclinic.org/diseases-conditions/ards/diagnosis-treatment/drc-20355581,Treatment
MAYO,ARDS,https://www.mayoclinic.org/diseases-conditions/ards/symptoms-causes/syc-20355576,Overview
MAYO,AT,https://www.mayoclinic.org/diseases-conditions/supraventricular-tachycardia/diagnosis-treatment/drc-20355249,Treatment
MAYO,AT,https://www.mayoclinic.org/diseases-conditions/atrial-tachycardia/cdc-20355258,Overview
MAYO,AVNRT,https://www.mayoclinic.org/diseases-conditions/supraventricular-tachycardia/diagnosis-treatment/drc-20355249,Treatment
MAYO,AVNRT,https://www.mayoclinic.org/diseases-conditions/avnrt/cdc-20355254,Overview
MAYO,Abdominal aortic aneurysm,https://www.mayoclinic.org/diseases-conditions/abdominal-aortic-aneurysm/diagnosis-treatment/drc-20350693,Treatment
MAYO,Abdominal aortic aneurysm,https://www.mayoclinic.org/diseases-conditions/abdominal-aortic-aneurysm/symptoms-causes/syc-20350688,Overview
MAYO,Absence seizure,https://www.mayoclinic.org/diseases-conditions/petit-mal-seizure/diagnosis-treatment/drc-20359734,Treatment
MAYO,Absence seizure,https://www.mayoclinic.org/diseases-conditions/petit-mal-seizure/symptoms-causes/syc-20359683,Overview
MAYO,Acanthosis nigricans,https://www.mayoclinic.org/diseases-conditions/acanthosis-nigricans/diagnosis-treatment/drc-20368987,Treatment
MAYO,Acanthosis nigricans,https://www.mayoclinic.org/diseases-conditions/acanthosis-nigricans/symptoms-causes/syc-20368983,Overview
MAYO,Achalasia,https://www.mayoclinic.org/diseases-conditions/achalasia/diagnosis-treatment/drc-20352851,Treatment
MAYO,Achalasia,https://www.mayoclinic.org/diseases-conditions/achalasia/symptoms-causes/syc-20352850,Overview
MAYO,Achilles tendinitis,https://www.mayoclinic.org/diseases-conditions/achilles-tendinitis/diagnosis-treatment/drc-20369025,Treatment
MAYO,Achilles tendinitis,https://www.mayoclinic.org/diseases-conditions/achilles-tendinitis/symptoms-causes/syc-20369020,Overview
MAYO,Achilles tendon rupture,https://www.mayoclinic.org/diseases-conditions/achilles-tendon-rupture/diagnosis-treatment/drc-20353239,Treatment
MAYO,Achilles tendon rupture,https://www.mayoclinic.org/diseases-conditions/achilles-tendon-rupture/symptoms-causes/syc-20353234,Overview
MAYO,Acid reflux,https://www.mayoclinic.org/diseases-conditions/infant-acid-reflux/diagnosis-treatment/drc-20351412,Treatment
MAYO,Acid reflux,https://www.mayoclinic.org/diseases-conditions/infant-acid-reflux/symptoms-causes/syc-20351408,Overview
MAYO,Acne,https://www.mayoclinic.org/diseases-conditions/acne/diagnosis-treatment/drc-20368048,Treatment
MAYO,Acne,https://www.mayoclinic.org/diseases-conditions/acne/symptoms-causes/syc-20368047,Overview
MAYO,Acoustic neuroma,https://www.mayoclinic.org/diseases-conditions/acoustic-neuroma/diagnosis-treatment/drc-20356132,Treatment
MAYO,Acoustic neuroma,https://www.mayoclinic.org/diseases-conditions/acoustic-neuroma/symptoms-causes/syc-20356127,Overview
MAYO,Acromegaly,https://www.mayoclinic.org/diseases-conditions/acromegaly/diagnosis-treatment/drc-20351226,Treatment
MAYO,Acromegaly,https://www.mayoclinic.org/diseases-conditions/acromegaly/symptoms-causes/syc-20351222,Overview
MAYO,Actinic keratosis,https://www.mayoclinic.org/diseases-conditions/actinic-keratosis/diagnosis-treatment/drc-20354975,Treatment
MAYO,Actinic keratosis,https://www.mayoclinic.org/diseases-conditions/actinic-keratosis/symptoms-causes/syc-20354969,Overview
MAYO,Acute coronary syndrome,https://www.mayoclinic.org/diseases-conditions/acute-coronary-syndrome/diagnosis-treatment/drc-20352140,Treatment
MAYO,Acute coronary syndrome,https://www.mayoclinic.org/diseases-conditions/acute-coronary-syndrome/symptoms-causes/syc-20352136,Overview
MAYO,Acute febrile neutrophilic dermatosis,https://www.mayoclinic.org/diseases-conditions/sweets-syndrome/diagnosis-treatment/drc-20351122,Treatment
MAYO,Acute febrile neutrophilic dermatosis,https://www.mayoclinic.org/diseases-conditions/sweets-syndrome/symptoms-causes/syc-20351117,Overview
MAYO,Acute flaccid myelitis (AFM),https://www.mayoclinic.org/diseases-conditions/acute-flaccid-myelitis/diagnosis-treatment/drc-20493060,Treatment
MAYO,Acute flaccid myelitis (AFM),https://www.mayoclinic.org/diseases-conditions/acute-flaccid-myelitis/symptoms-causes/syc-20493046,Overview
MAYO,Acute inflammatory demyelinating polyneuropathy,https://www.mayoclinic.org/diseases-conditions/guillain-barre-syndrome/diagnosis-treatment/drc-20363006,Treatment
MAYO,Acute inflammatory demyelinating polyneuropathy,https://www.mayoclinic.org/diseases-conditions/guillain-barre-syndrome/symptoms-causes/syc-20362793,Overview
MAYO,Acute kidney failure,https://www.mayoclinic.org/diseases-conditions/kidney-failure/diagnosis-treatment/drc-20369053,Treatment
MAYO,Acute kidney failure,https://www.mayoclinic.org/diseases-conditions/kidney-failure/symptoms-causes/syc-20369048,Overview
MAYO,Acute liver failure,https://www.mayoclinic.org/diseases-conditions/acute-liver-failure/diagnosis-treatment/drc-20352868,Treatment
MAYO,Acute liver failure,https://www.mayoclinic.org/diseases-conditions/acute-liver-failure/symptoms-causes/syc-20352863,Overview
MAYO,Acute lymphocytic leukemia,https://www.mayoclinic.org/diseases-conditions/acute-lymphocytic-leukemia/diagnosis-treatment/drc-20369083,Treatment
MAYO,Acute lymphocytic leukemia,https://www.mayoclinic.org/diseases-conditions/acute-lymphocytic-leukemia/symptoms-causes/syc-20369077,Overview
MAYO,Acute myelogenous leukemia,https://www.mayoclinic.org/diseases-conditions/acute-myelogenous-leukemia/diagnosis-treatment/drc-20369115,Treatment
MAYO,Acute myelogenous leukemia,https://www.mayoclinic.org/diseases-conditions/acute-myelogenous-leukemia/symptoms-causes/syc-20369109,Overview
MAYO,Acute radiation syndrome,https://www.mayoclinic.org/diseases-conditions/radiation-sickness/diagnosis-treatment/drc-20377061,Treatment
MAYO,Acute radiation syndrome,https://www.mayoclinic.org/diseases-conditions/radiation-sickness/symptoms-causes/syc-20377058,Overview
MAYO,Acute respiratory distress syndrome,https://www.mayoclinic.org/diseases-conditions/ards/diagnosis-treatment/drc-20355581,Treatment
MAYO,Acute respiratory distress syndrome,https://www.mayoclinic.org/diseases-conditions/ards/symptoms-causes/syc-20355576,Overview
MAYO,Acute sinusitis,https://www.mayoclinic.org/diseases-conditions/acute-sinusitis/diagnosis-treatment/drc-20351677,Treatment
MAYO,Acute sinusitis,https://www.mayoclinic.org/diseases-conditions/acute-sinusitis/symptoms-causes/syc-20351671,Overview
MAYO,Addison's disease,https://www.mayoclinic.org/diseases-conditions/addisons-disease/diagnosis-treatment/drc-20350296,Treatment
MAYO,Addison's disease,https://www.mayoclinic.org/diseases-conditions/addisons-disease/symptoms-causes/syc-20350293,Overview
MAYO,Adenomyosis,https://www.mayoclinic.org/diseases-conditions/adenomyosis/diagnosis-treatment/drc-20369143,Treatment
MAYO,Adenomyosis,https://www.mayoclinic.org/diseases-conditions/adenomyosis/symptoms-causes/syc-20369138,Overview
MAYO,Adhesive capsulitis,https://www.mayoclinic.org/diseases-conditions/frozen-shoulder/diagnosis-treatment/drc-20372690,Treatment
MAYO,Adhesive capsulitis,https://www.mayoclinic.org/diseases-conditions/frozen-shoulder/symptoms-causes/syc-20372684,Overview
MAYO,Adjustment disorders,https://www.mayoclinic.org/diseases-conditions/adjustment-disorders/diagnosis-treatment/drc-20355230,Treatment
MAYO,Adjustment disorders,https://www.mayoclinic.org/diseases-conditions/adjustment-disorders/symptoms-causes/syc-20355224,Overview
MAYO,Adnexal tumors,https://www.mayoclinic.org/diseases-conditions/adnexal-tumors/symptoms-causes/syc-20355053,Overview
MAYO,Adrenal cancer,https://www.mayoclinic.org/diseases-conditions/adrenal-cancer/diagnosis-treatment/drc-20446405,Treatment
MAYO,Adrenal cancer,https://www.mayoclinic.org/diseases-conditions/adrenal-cancer/symptoms-causes/syc-20351026,Overview
MAYO,Adrenal gland tumor,https://www.mayoclinic.org/diseases-conditions/pheochromocytoma/diagnosis-treatment/drc-20355372,Treatment
MAYO,Adrenal gland tumor,https://www.mayoclinic.org/diseases-conditions/pheochromocytoma/symptoms-causes/syc-20355367,Overview
MAYO,Adrenal mass,https://www.mayoclinic.org/diseases-conditions/benign-adrenal-tumors/symptoms-causes/syc-20356190,Overview
MAYO,Adrenoleukodystrophy,https://www.mayoclinic.org/diseases-conditions/adrenoleukodystrophy/diagnosis-treatment/drc-20369160,Treatment
MAYO,Adrenoleukodystrophy,https://www.mayoclinic.org/diseases-conditions/adrenoleukodystrophy/symptoms-causes/syc-20369157,Overview
MAYO,Adult Still's disease,https://www.mayoclinic.org/diseases-conditions/adult-stills-disease/diagnosis-treatment/drc-20351912,Treatment
MAYO,Adult Still's disease,https://www.mayoclinic.org/diseases-conditions/adult-stills-disease/symptoms-causes/syc-20351907,Overview
MAYO,Adult attention-deficithyperactivity disorder (ADHD),https://www.mayoclinic.org/diseases-conditions/adult-adhd/diagnosis-treatment/drc-20350883,Treatment
MAYO,Adult attention-deficithyperactivity disorder (ADHD),https://www.mayoclinic.org/diseases-conditions/adult-adhd/symptoms-causes/syc-20350878,Overview
MAYO,Age spots (liver spots),https://www.mayoclinic.org/diseases-conditions/age-spots/diagnosis-treatment/drc-20355864,Treatment
MAYO,Age spots (liver spots),https://www.mayoclinic.org/diseases-conditions/age-spots/symptoms-causes/syc-20355859,Overview
MAYO,Age-related macular degeneration,https://www.mayoclinic.org/diseases-conditions/dry-macular-degeneration/diagnosis-treatment/drc-20350381,Treatment
MAYO,Age-related macular degeneration,https://www.mayoclinic.org/diseases-conditions/wet-macular-degeneration/diagnosis-treatment/drc-20351113,Treatment
MAYO,Age-related macular degeneration,https://www.mayoclinic.org/diseases-conditions/dry-macular-degeneration/symptoms-causes/syc-20350375,Overview
MAYO,Age-related macular degeneration,https://www.mayoclinic.org/diseases-conditions/wet-macular-degeneration/symptoms-causes/syc-20351107,Overview
MAYO,Agoraphobia,https://www.mayoclinic.org/diseases-conditions/agoraphobia/diagnosis-treatment/drc-20355993,Treatment
MAYO,Agoraphobia,https://www.mayoclinic.org/diseases-conditions/agoraphobia/symptoms-causes/syc-20355987,Overview
MAYO,Airplane ear,https://www.mayoclinic.org/diseases-conditions/airplane-ear/diagnosis-treatment/drc-20351707,Treatment
MAYO,Airplane ear,https://www.mayoclinic.org/diseases-conditions/airplane-ear/symptoms-causes/syc-20351701,Overview
MAYO,Albinism,https://www.mayoclinic.org/diseases-conditions/albinism/diagnosis-treatment/drc-20369189,Treatment
MAYO,Albinism,https://www.mayoclinic.org/diseases-conditions/albinism/symptoms-causes/syc-20369184,Overview
MAYO,Alcohol addiction,https://www.mayoclinic.org/diseases-conditions/alcohol-use-disorder/diagnosis-treatment/drc-20369250,Treatment
MAYO,Alcohol addiction,https://www.mayoclinic.org/diseases-conditions/alcohol-use-disorder/symptoms-causes/syc-20369243,Overview
MAYO,Alcohol intolerance,https://www.mayoclinic.org/diseases-conditions/alcohol-intolerance/diagnosis-treatment/drc-20369215,Treatment
MAYO,Alcohol intolerance,https://www.mayoclinic.org/diseases-conditions/alcohol-intolerance/symptoms-causes/syc-20369211,Overview
MAYO,Alcohol poisoning,https://www.mayoclinic.org/diseases-conditions/alcohol-poisoning/diagnosis-treatment/drc-20354392,Treatment
MAYO,Alcohol poisoning,https://www.mayoclinic.org/diseases-conditions/alcohol-poisoning/symptoms-causes/syc-20354386,Overview
MAYO,Alcohol use disorder,https://www.mayoclinic.org/diseases-conditions/alcohol-use-disorder/diagnosis-treatment/drc-20369250,Treatment
MAYO,Alcohol use disorder,https://www.mayoclinic.org/diseases-conditions/alcohol-use-disorder/symptoms-causes/syc-20369243,Overview
MAYO,Alcoholic hepatitis,https://www.mayoclinic.org/diseases-conditions/alcoholic-hepatitis/diagnosis-treatment/drc-20351394,Treatment
MAYO,Alcoholic hepatitis,https://www.mayoclinic.org/diseases-conditions/alcoholic-hepatitis/symptoms-causes/syc-20351388,Overview
MAYO,Allergies,https://www.mayoclinic.org/diseases-conditions/allergies/diagnosis-treatment/drc-20351503,Treatment
MAYO,Allergies,https://www.mayoclinic.org/diseases-conditions/allergies/symptoms-causes/syc-20351497,Overview
MAYO,Allergy,https://www.mayoclinic.org/diseases-conditions/dust-mites/diagnosis-treatment/drc-20352178,Treatment
MAYO,Allergy,https://www.mayoclinic.org/diseases-conditions/food-allergy/diagnosis-treatment/drc-20355101,Treatment
MAYO,Allergy,https://www.mayoclinic.org/diseases-conditions/latex-allergy/diagnosis-treatment/drc-20374291,Treatment
MAYO,Allergy,https://www.mayoclinic.org/diseases-conditions/mold-allergy/diagnosis-treatment/drc-20351525,Treatment
MAYO,Allergy,https://www.mayoclinic.org/diseases-conditions/nickel-allergy/diagnosis-treatment/drc-20351534,Treatment
MAYO,Allergy,https://www.mayoclinic.org/diseases-conditions/peanut-allergy/diagnosis-treatment/drc-20376181,Treatment
MAYO,Allergy,https://www.mayoclinic.org/diseases-conditions/penicillin-allergy/diagnosis-treatment/drc-20376226,Treatment
MAYO,Allergy,https://www.mayoclinic.org/diseases-conditions/pet-allergy/diagnosis-treatment/drc-20352198,Treatment
MAYO,Allergy,https://www.mayoclinic.org/diseases-conditions/shellfish-allergy/diagnosis-treatment/drc-20377507,Treatment
MAYO,Allergy,https://www.mayoclinic.org/diseases-conditions/soy-allergy/diagnosis-treatment/drc-20377807,Treatment
MAYO,Allergy,https://www.mayoclinic.org/diseases-conditions/wheat-allergy/diagnosis-treatment/drc-20378902,Treatment
MAYO,Allergy,https://www.mayoclinic.org/diseases-conditions/dust-mites/symptoms-causes/syc-20352173,Overview
MAYO,Allergy,https://www.mayoclinic.org/diseases-conditions/food-allergy/symptoms-causes/syc-20355095,Overview
MAYO,Allergy,https://www.mayoclinic.org/diseases-conditions/latex-allergy/symptoms-causes/syc-20374287,Overview
MAYO,Allergy,https://www.mayoclinic.org/diseases-conditions/mold-allergy/symptoms-causes/syc-20351519,Overview
MAYO,Allergy,https://www.mayoclinic.org/diseases-conditions/nickel-allergy/symptoms-causes/syc-20351529,Overview
MAYO,Allergy,https://www.mayoclinic.org/diseases-conditions/peanut-allergy/symptoms-causes/syc-20376175,Overview
MAYO,Allergy,https://www.mayoclinic.org/diseases-conditions/penicillin-allergy/symptoms-causes/syc-20376222,Overview
MAYO,Allergy,https://www.mayoclinic.org/diseases-conditions/pet-allergy/symptoms-causes/syc-20352192,Overview
MAYO,Allergy,https://www.mayoclinic.org/diseases-conditions/shellfish-allergy/symptoms-causes/syc-20377503,Overview
MAYO,Allergy,https://www.mayoclinic.org/diseases-conditions/soy-allergy/symptoms-causes/syc-20377802,Overview
MAYO,Allergy,https://www.mayoclinic.org/diseases-conditions/wheat-allergy/symptoms-causes/syc-20378897,Overview
MAYO,Alpha-gal syndrome,https://www.mayoclinic.org/diseases-conditions/alpha-gal-syndrome/diagnosis-treatment/drc-20428705,Treatment
MAYO,Alpha-gal syndrome,https://www.mayoclinic.org/diseases-conditions/alpha-gal-syndrome/symptoms-causes/syc-20428608,Overview
MAYO,Alveolar osteitis,https://www.mayoclinic.org/diseases-conditions/dry-socket/diagnosis-treatment/drc-20354382,Treatment
MAYO,Alveolar osteitis,https://www.mayoclinic.org/diseases-conditions/dry-socket/symptoms-causes/syc-20354376,Overview
MAYO,Alzheimer's disease,https://www.mayoclinic.org/diseases-conditions/alzheimers-disease/diagnosis-treatment/drc-20350453,Treatment
