snomedConcept,snomedIdentifier,conditionName,predictedTag,confidence,sentence,source,supportCNL1L2L3,supportL1L2L3,L1,L2,L3,a,fromValue,fromUnit,b,toValue,toUnit
Pain of knee region (finding),1003722009,Knee pain,IMPROVE MODERATELY FROM 6 MONTH TO 1 YEAR,0.0217391304347826,"Although study results have been mixed about the effectiveness of this treatment, relief from one or a series of shots may last as long as six months.",MAYO,0.0001932740626207,0.0088906068805566,IMPROVE,MODERATELY,FROM 6 MONTH TO 1 YEAR,FROM,6,MONTH,TO,1,YEAR
Pain of knee region (finding),1003722009,Knee pain,IMPROVE FAST FROM 1 DAY TO 1 WEEK,0.0072463768115942,You should start to feel better in a few days,NHS,0.0003865481252415,0.0533436412833397,IMPROVE,FAST,FROM 1 DAY TO 1 WEEK,FROM,1,DAY,TO,1,WEEK
Pain of knee region (finding),1003722009,Knee pain,IMPROVE FAST FROM 5 MINUTE TO 1 DAY,0.0010362694300518,But this altered gait can place more stress on your knee joint.,MAYO,0.0001932740626207,0.1865094704290684,IMPROVE,FAST,FROM 5 MINUTE TO 1 DAY,FROM,5,MINUTE,TO,1,DAY
Allergy to Hevea brasiliensis latex protein (finding),1003755004,Latex allergy,PERMANENT,0.0011520737327188,"Although medications are available to reduce the symptoms of latex allergy, there is no cure.",MAYO,0.0001932740626207,0.1677618863548511,PERMANENT,,,,,,,,
Metatarsalgia (finding),10085004,Metatarsalgia,IMPROVE FAST FROM 5 MINUTE TO 1 DAY,0.0010362694300518,"Although generally not serious, metatarsalgia can sideline you.",MAYO,0.0001932740626207,0.1865094704290684,IMPROVE,FAST,FROM 5 MINUTE TO 1 DAY,FROM,5,MINUTE,TO,1,DAY
Infection caused by Schistosoma (disorder),10087007,Schistosomiasis (bilharzia),IMPROVE SLOWLY FROM 1 YEAR TO MORE YEAR,0.0075187969924812,"You often don't have any symptoms when you first become infected with schistosomiasis, but the parasite can remain in the body for many years and cause damage to organs such as the bladder, kidneys and liver.",NHS,0.0003865481252415,0.0514109006571318,IMPROVE,SLOWLY,FROM 1 YEAR TO MORE YEAR,FROM,1,YEAR,TO,MORE,YEAR
Infection caused by Schistosoma (disorder),10087007,Schistosomiasis (bilharzia),IMPROVE MODERATELY FROM 8 DAY TO 2 MONTH,0.0016181229773462,"These symptoms, known as acute schistosomiasis, often get better by themselves within a few weeks",NHS,0.0001932740626207,0.1194433706996521,IMPROVE,MODERATELY,FROM 8 DAY TO 2 MONTH,FROM,8,DAY,TO,2,MONTH
Growing pains (finding),102482005,Growing pains,IMPROVE SLOWLY FROM 1 YEAR TO MORE YEAR,0.0075187969924812,Growing pains often get better on their own within a year or two.,MAYO,0.0003865481252415,0.0514109006571318,IMPROVE,SLOWLY,FROM 1 YEAR TO MORE YEAR,FROM,1,YEAR,TO,MORE,YEAR
Cyclospora (organism),103560006,Cyclospora,IMPROVE MODERATELY FROM 1 DAY TO 1 WEEK,0.0434782608695652,"If cyclospora isn't treated, the illness may last from a few days to a month or longer.",NHS,0.0001932740626207,0.0044453034402783,IMPROVE,MODERATELY,FROM 1 DAY TO 1 WEEK,FROM,1,DAY,TO,1,WEEK
Blindness AND/OR vision impairment level (disorder),105597003,Blindness and vision loss,IMPROVE FAST FROM 5 MINUTE TO 1 DAY,0.005181347150259,"If you're blind or partially sighted, you may be referred to a specialist low-vision clinic, which is often located within a hospital",NHS,0.0009663703131039,0.1865094704290684,IMPROVE,FAST,FROM 5 MINUTE TO 1 DAY,FROM,5,MINUTE,TO,1,DAY
