snomedConcept,snomedDesConcept,snomedDesIdentifier,snomedIdentifier
Administrative procedure,Hospital admission from dialysis facility (procedure),432621000124105,14734007
Administrative procedure,Hospital admission from non-health care facility (procedure),3241000175106,14734007
Administrative procedure,Admission to neonatal intensive care unit (procedure),830077005,14734007
Administrative procedure,Invitation to participate in research study (procedure),780816009,14734007
Administrative procedure,Admission to acute internal medicine department (procedure),772011000,14734007
Administrative procedure,Admission to pediatric cardiology department (procedure),771550009,14734007
Administrative procedure,Medication review invitation (procedure),770849006,14734007
Administrative procedure,Obtaining consent for disposal of fetal tissue (procedure),745273003,14734007
Administrative procedure,Obtaining consent for disposal of human tissue (procedure),745203002,14734007
Administrative procedure,Invitation by telephone for influenza vaccination (procedure),737041000,14734007
Administrative procedure,Education about rights as patient (procedure),722442003,14734007
Administrative procedure,Multi-agency case management review meeting (procedure),720585001,14734007
Administrative procedure,Registration for online access to local general practice service (procedure),720582003,14734007
Administrative procedure,Transportation by bariatric transport (procedure),720371007,14734007
Administrative procedure,Transportation by car (procedure),720370008,14734007
Administrative procedure,Transfer to high dependency unit (procedure),720004009,14734007
Administrative procedure,Advance care planning decisions shared with out of hours service (procedure),719962002,14734007
Administrative procedure,Provision of diabetes identity card (procedure),719570003,14734007
Administrative procedure,Management of outpatient discharge (procedure),718676006,14734007
Administrative procedure,Management of inpatient discharge (procedure),718675005,14734007
Administrative procedure,Liaising with housing service (procedure),718532008,14734007
Administrative procedure,Transportation by public transport (procedure),716367000,14734007
Administrative procedure,Transportation by own transport (procedure),715957006,14734007
Administrative procedure,Transportation by taxi (procedure),715956002,14734007
Administrative procedure,Transportation by commercial flight with stretcher facility (procedure),715955003,14734007
Administrative procedure,Transportation by commercial flight (procedure),715954004,14734007
Administrative procedure,Transportation by ambulance with assistance of one person (procedure),715544005,14734007
Administrative procedure,Transportation by ambulance with assistance of two people (procedure),715543004,14734007
Administrative procedure,Transportation by emergency ambulance (procedure),715542009,14734007
Administrative procedure,Transportation by fixed wing air ambulance (procedure),715541002,14734007
Administrative procedure,Transportation by helicopter air ambulance (procedure),715540001,14734007
Administrative procedure,Transportation by ambulance (procedure),715537001,14734007
Administrative procedure,Sharing of advance care plan with out of hours service (procedure),715072008,14734007
Administrative procedure,Advance care planning request by patient (procedure),715016002,14734007
Administrative procedure,Provide status report to multidisciplinary team (procedure),713108007,14734007
Administrative procedure,Risk reduction technique (procedure),713090007,14734007
Administrative procedure,Patient request for smoking cessation information (procedure),712829007,14734007
Administrative procedure,Liaising with patient on breastfeeding plan (procedure),712554001,14734007
Administrative procedure,Liaising with patient (procedure),712553007,14734007
Administrative procedure,Completion of learning disabilities health action plan (procedure),712491005,14734007
Administrative procedure,Patient transfer to coronary care unit (procedure),711495003,14734007
Administrative procedure,Repatriation by air travel (procedure),711432003,14734007
Administrative procedure,Repatriation by road (procedure),711431005,14734007
Administrative procedure,Informing health care professional of presence of implant device (procedure),711111002,14734007
Administrative procedure,Informing health care professional of arterial blood gas test result (procedure),711109006,14734007
Administrative procedure,Informing health care professional of test result (procedure),711108003,14734007
Administrative procedure,Coordination of family conference (procedure),711070007,14734007
Administrative procedure,Liaising with family (procedure),711066004,14734007
Administrative procedure,Liaising with prescribing provider to initiate nurse controlled analgesia (procedure),711044006,14734007
Administrative procedure,Checking patient identity (procedure),710958003,14734007
Administrative procedure,Arranging transportation of device (procedure),710951009,14734007
Administrative procedure,Education about risk reduction technique (procedure),710737001,14734007
Administrative procedure,Transportation to home (procedure),710351004,14734007
Administrative procedure,Consulting with home care service (procedure),710242005,14734007
Administrative procedure,Transfer of care from hospital (procedure),710112000,14734007
