snomedConcept,snomedIdentifier,descendantId,descendantConcept,propagation,coverage
Pain of knee region (finding),1003722009,310391000119104,Iliotibial band friction syndrome of right knee (disorder),5,5
Pain of knee region (finding),1003722009,1003722009,Pain of knee region (finding),5,5
Pain of knee region (finding),1003722009,1003721002,Pain of joint of knee (finding),5,5
Pain of knee region (finding),1003722009,734988007,Complex regional pain syndrome of knee (disorder),5,5
Pain of knee region (finding),1003722009,239733006,Anterior knee pain (finding),5,5
Metatarsalgia (finding),10085004,10085004,Metatarsalgia (finding),1,1
Growing pains (finding),102482005,102482005,Growing pains (finding),1,1
Blindness AND/OR vision impairment level (disorder),105597003,60991000119100,Blindness due to type 1 diabetes mellitus (disorder),25,25
Blindness AND/OR vision impairment level (disorder),105597003,60951000119105,Blindness due to type 2 diabetes mellitus (disorder),25,25
Blindness AND/OR vision impairment level (disorder),105597003,717920004,"Blindness, scoliosis, arachnodactyly syndrome (disorder)",25,25
Blindness AND/OR vision impairment level (disorder),105597003,421706001,Blindness associated with acquired immunodeficiency syndrome (disorder),25,25
Blindness AND/OR vision impairment level (disorder),105597003,421293001,Unexplained visual loss (disorder),25,25
Blindness AND/OR vision impairment level (disorder),105597003,413924001,Cortical visual impairment (disorder),25,25
Blindness AND/OR vision impairment level (disorder),105597003,371060002,Visual loss after cataract extraction (disorder),25,25
Blindness AND/OR vision impairment level (disorder),105597003,361122008,Impairment level of vision (disorder),25,25
Blindness AND/OR vision impairment level (disorder),105597003,313165001,Functional visual loss (disorder),25,25
Blindness AND/OR vision impairment level (disorder),105597003,274572000,Blind right eye (disorder),25,25
Blindness AND/OR vision impairment level (disorder),105597003,274571007,Blind left eye (disorder),25,25
Blindness AND/OR vision impairment level (disorder),105597003,267727004,Blind or low vision - both eyes (disorder),25,25
Blindness AND/OR vision impairment level (disorder),105597003,225569001,Painful blind eye (disorder),25,25
Blindness AND/OR vision impairment level (disorder),105597003,193745007,"Low vision, one eye (disorder)",25,25
Blindness AND/OR vision impairment level (disorder),105597003,193731001,Legal blindness (United States of America) (disorder),25,25
Blindness AND/OR vision impairment level (disorder),105597003,105597003,Blindness AND/OR vision impairment level (disorder),25,25
