snomedConcept,snomedIdentifier,descendantId,descendantConcept,query,propagation,coverage
Pain of knee region (finding),1003722009,1003722009,Pain of knee region (finding),(<!10601006|Pain in lower limb (finding)| AND <!116314006|Finding of knee region (finding)|)&limit=7000,1,1
Metatarsalgia (finding),10085004,710230000,Painful os peroneum syndrome (disorder),(<!12584003|Bone pain (finding)| AND <!47933007|Foot pain (finding)| AND <!299558001|Finding of bone of foot (finding)|)&limit=7000,3,3
Metatarsalgia (finding),10085004,704677002,Tarsalgia (finding),(<!12584003|Bone pain (finding)| AND <!47933007|Foot pain (finding)| AND <!299558001|Finding of bone of foot (finding)|)&limit=7000,3,3
Metatarsalgia (finding),10085004,10085004,Metatarsalgia (finding),(<!12584003|Bone pain (finding)| AND <!47933007|Foot pain (finding)| AND <!299558001|Finding of bone of foot (finding)|)&limit=7000,3,3
Growing pains (finding),102482005,102482005,Growing pains (finding),(<!90834002|Pain in limb (finding)| AND <!247409009|Specific body function causing pain (finding)|)&limit=7000,1,1
Acute bronchitis (disorder),10509002,10509002,Acute bronchitis (disorder),(<!111273006|Acute respiratory disease (disorder)| AND <!32398004|Bronchitis (disorder)| AND <!128482007|Acute inflammatory disease (disorder)|)&limit=7000,1,1
Fibrous dysplasia of bone (disorder),10623005,10623005,Fibrous dysplasia of bone (disorder),(<!8447006|Congenital anomaly of skeletal bone (disorder)| AND <!92027006|Benign neoplasm of bone (disorder)|)&limit=7000,1,1
Irritable bowel syndrome (disorder),10743008,10743008,Irritable bowel syndrome (disorder),(<!81120009|Functional disorder of intestine (disorder)| AND <!119523007|Disorder of large intestine (disorder)|)&limit=7000,1,1
Arthritis of bilateral first carpometacarpal joints (disorder),1074781000119102,1074781000119102,Arthritis of bilateral first carpometacarpal joints (disorder),(<!15728481000119104|Arthropathy of joint of bilateral hands (disorder)| AND <!1074801000119103|Arthritis of first carpometacarpal joint of left hand (disorder)| AND <!1074811000119100|Arthritis of first carpometacarpal joint of right hand (disorder)|)&limit=7000,1,1
Sclerosing mesenteritis (disorder),1092381000119100,1092381000119100,Sclerosing mesenteritis (disorder),(<!53619000|Disorder of digestive system (disorder)| AND <!239953001|Soft tissue lesion (disorder)| AND <!66579008|Disorder of peritoneum (disorder)|)&limit=7000,3,3
